Program Name,DBA,Latitude,Longitude,Street,City,State,Zipcode,Phone,Certification,FullCertification
Community Health Center,CHC Addiction Services,,,725 East Market St.,Akron,OH,44305,(330) 434-4141,Certified,8/24/03
"BrightView, LLC OTP Akron",,,,999 North Main Street,Akron,OH,44310,(513) 834-7063,Certified,12/16/20
"New Season of Ohio, LP",New Season Akron Treatment Center,,,1900 West Market Street,Akron,OH,44313,(234) 901-2590,Certified,3/5/21
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Amherst,,,530 North Leavitt Rd,Amherst,OH,44001,(440) 328-4213,Certified,12/17/20
"BrightView, LLC OTP Ashtabula",BrightView,,,2210 South Ridge Road East,Ashtabula,OH,44004,(513) 834-7063,Certified,7/29/21
"Health Recovery Services, Inc.",,,,224 Columbus Road,Athens,OH,45701,(740) 592-6724,Certified,8/26/16
"Pinnacle Treatment Centers OH-XVI, LLC",Athens Treatment Services,,,8978 United Lane,Athens,OH,45701,(740) 274-4246,Certified,12/15/21
"Pinnacle Treatment Centers OH-III, LLC",Akron Treatment Services,,,87 Conservatory Drive,Barberton,OH,44203,(234) 334-4203,Certified,8/23/19
"Clermont Recovery Center, Inc.","Clermont Recovery Center, Inc.",,,"1088 Wasserman Way, Suite C",Batavia,OH,45103,(513) 735-8100,Certified,6/17/15
"BrightView, LLC OTP Batavia",,,,1090 Hospital Dr.,Batavia,OH,45103,(833) 510-4357,Certified,4/16/20
"BrightView, llc OTP Youngstown",,,,930 Trailwood Drive,Boardman,OH,44512,(513) 834-7063,Certified,10/25/21
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Youngstown,,,900 Sahara Trail,Boardman,OH,44514,(330) 267-9020,Certified,11/25/22
"Pinnacle Treatment Centers OH-XI, LLC",Brilliant Treatment Services,,,1479 3rd Street,Brilliant,OH,43913,(740) 598-2054,Certified,12/14/21
"CommQuest Services, Inc.",,,,1341 Market Avenue North,Canton,OH,44714-2675,(330) 453-8252,Certified,5/9/06
"Pinnacle Treatment Centers OH-II, LLC",Chillicothe Treatment Services,,,606 Central Center,Chillicothe,OH,45601,(740) 771-3553,Certified,1/9/19
"BrightView, LLC OTP Chillicothe",,,,126 E 2nd St.,Chillicothe,OH,45601,(513) 834-7063,Certified,4/20/20
Chillicothe Acute Care Clinic Inc.,Anchor Addiction and Wellness Center,,,3 Medical Drive,Chillicothe,OH,45601,(740) 779-6612,Provisional,
Talbert House OTP,,39.13460928,-84.50215063,3009 Burnet Avenue,Cincinnati,OH,45219,(513) 751-7747,Provisional,
Sunrise Treatment Center - OTR,Sunrise Treatment Center - OTR,39.11667603,-84.52180675,1718 Central Parkway,Cincinnati,OH,45214,(513) 941-4999,Certified,1/6/22
Sunrise Treatment Center - Forest Park,,39.28195125,-84.50069745,680 Northland Blvd.,Cincinnati,OH,45240,(513) 941-4999,Certified,5/22/17
"BrightView, LLC OTP Morgan",,39.12553235,-84.49955471,446 Morgan St.,Cincinnati,OH,45206,(833) 510-4357,Certified,8/26/19
"Sunrise Treatment Center, LLC",Sunrise Treatment Center,39.19194789,-84.65692385,6460 Harrison Ave. Ste 100,Cincinnati,OH,45247,(513) 941-4999,Certified,11/6/14
"Pinnacle Treatment Centers OH-VI, LLC",Covedale Treatment Services,39.13159223,-84.61432575,5122 Glencrossing Way,Cincinnati,OH,45238,(513) 827-9044,Certified,12/17/18
"BrightView, LLC OTP Colerain",,39.20738637,-84.58401542,6527 Colerain Ave.,Cincinnati,OH,45239,(833) 510-4357,Certified,5/30/19
"Opiate Substitution Services, VAMC - Cincinnati Division",Methadone Maintenance Program,39.13970744,-84.50818735,3200 Vine St.,Cincinnati,OH,45220,(513) 475-6402,Certified,8/22/03
"Premier Care of Ohio, LLC",Community Medical Services- Westchester Township,39.30376052,-84.46431776,42-46 East Crescentville Road,Cincinnati,OH,45246,(513) 671-7117,Certified,5/14/10
"University of Cincinnati Physicians Company, LLC (UCPC,LLC)",,39.13647566,-84.49917518,3131 Harvey Avenue,Cincinnati,OH,45229,(513) 585-8227,Certified,6/26/14
The Crossroads Center,The Crossroads Center,39.13488767,-84.50218118,3009 Burnet Avenue,Cincinnati,OH,45219,(513) 332-0350,Certified,8/11/15
Exclusive Services,"eXclusive Services, Inc.",39.26890329,-84.37994289,11134 Luschek Drive,Cincinnati,OH,45241,513-827-9273,Certified,3/26/20
Lutheran Hospital Alcohol and Drug Recovery Center,,,,1730 West 25th Street,Cleveland,OH,44113,(216) 363-2230,Certified,9/18/14
Community Action Against Addiction,CAAA,,,5209 Euclid Avenue,Cleveland,OH,44103,(216) 881-0765,Certified,7/2/03
"Cleveland VA Medical Center-Wade Park Division, Opioid Treatment Program",,,,10701 East Blvd.,Cleveland,OH,44016,(216) 791-3800,Certified,11/9/06
Bureau of Drug Abuse - Cleveland Treatment Center,Cleveland Treatment Center,,,1127 Carnegie Ave.,Cleveland,OH,44115,(216) 861-4246,Certified,11/1/03
"Premier Care of Ohio, LLC",Community Medical Services- Cleveland on Carnegie,,,2020 Carnegie Avenue,Cleveland,OH,44115,(216) 859-9500,Certified,2/6/23
"Ohio Treatment Center, LLC",Cleveland Comprehensive Treatment Center,,,"8101 Euclid Avenue, Ste. 21",Cleveland,OH,44103-5059,(216) 220-0035,Certified,11/29/21
Sunrise Treatment Center - Columbus South,Sunrise Treatment Center,,,100 Highview Blvd,Columbus,OH,43207,(513) 941-4999,Certified,4/24/23
"Premier Care of Ohio, LLC",Community Medical Services- Columbus on High,,,1151 S. High Street,Columbus,OH,43206,(380) 242-4500,Certified,10/31/23
Complete Healthcare for Women Inc.,Complete Healthcare Addiction & Gynecology,,,1539 West Broad Street,Columbus,OH,43222,(614) 882-4343,Certified,6/23/23
CompDrug,,,,547 East 11th Ave.,Columbus,OH,43211,(614) 224-4506,Certified,6/1/03
"Premier Care of Ohio, LLC",Community Medical Services - Columbus on Dublin,,,1380 Dublin Rd,Columbus,OH,43215,(614) 488-7117,Certified,11/4/14
Complete HealthCare for Women,COMPLETE HEALTHCARE ADDICTION & GYNECOLOGY,,,5888 Cleveland Avenue,Columbus,OH,43231,(614) 882-4343,Certified,5/3/21
Maryhaven,Maryhaven OTP,,,1791 Alum Creek Dr.,Columbus,OH,43207,(614) 445-8131,Certified,7/18/08
"BayMark Health Services of Ohio, Inc.",BayMark Health Services,,,1809 E Main St,Columbus,OH,43205,(614) 502-7022,Certified,10/28/20
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Columbus North OH,,,45 Lazelle Road East,Columbus,OH,43235,(614) 502-7646,Certified,9/21/20
BrightView LLC,BrightView-OTP Columbus,,,4660 Roberts Road,Columbus,OH,43228,(513) 834-7063,Certified,8/25/20
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Dayton,,,4201 North Main Street,Dayton,OH,45405,(937) 203-2017,Certified,10/28/20
"BrightView, LLC OTP Dayton",,,,8120 Garnet Dr.,Dayton,OH,45458,(833) 510-4357,Certified,2/7/20
Sunrise Treatment Center - Dayton,,,,1435 Cincinnati St. Suite 150,Dayton,OH,45417,(513) 941-4999,Certified,3/26/20
"Pinnacle Treatment Centers OH-V, LLC",Dayton Treatment Services,,,7301 Poe Avenue,Dayton,OH,45414,(937) 280-4631,Certified,12/17/18
Department of Veteran Affairs,Opioid Treatment Program,,,"4100 West Third St., Building 302, Room 125",Dayton,OH,45428,(937) 268-6511 x1267,Certified,1/25/03
"Brightview, LLC Dover",BrightView,,,115 South Wooster Ave.,Dover,OH,44622,(513) 843-7063,Certified,10/26/22
"Brightview, LLC Elyria",Brightview,,,540 Griswold Ave.,Elyria,OH,44035,(833) 510-4357,Certified,8/7/23
Pinnacle Treatment Centers OH-VII,Elyria Treatment Services,,,174 Midway BLVD,Elyria,OH,44035,440-723-8997,Certified,2/2/21
DeCoach Rehabilitation Centre,DeCoach Rehabilitation Centre,,,300 W. Main Street,Fairborn,OH,45324-5037,(937) 281-4673,Certified,11/6/23
DeCoach Team LLC,DeCoach Rehabilitation Centre,,,6570 Sosna Drive,Fairfield,OH,45014,(513) 942-4673,Certified,12/1/20
"Bright View, LLC Fairfield",,,,5108 Sandy Ln.,Fairfield,OH,45014,(513) 834-7063,Certified,2/12/20
"BrightView, LLC OTP Georgetown",,,,421 Home Street,Georgetown,OH,45121,(513) 834-7063,Certified,7/19/21
DeCoach Rehabilitation Centre,DeCoach Rehabilitation Centre,,,3103 Dixie Hwy,Hamilton,OH,45015,(513) 892-4673,Certified,1/14/22
"Pinnacle Treatment Centers OH-XIII, LLC",Hamilton Treatment Services,,,8500 Bilstein Blvd,Hamilton,OH,45015,(513) 275-4273,Certified,1/10/22
"State Line Treatment Services, LLC","State Line Treatment Services, LLC",,,120 May Drive,Harrison,OH,45030,(513) 367-4444,Certified,7/13/23
"Health Recovery Services, Inc.",,,,120 Twin Oaks Dr.,Jackson,OH,45640,(740) 577-3450,Certified,9/3/14
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Kent,,,2500 State Route 59,Kent,OH,44240,(330) 552-4000,Certified,12/17/20
"Premier Care of Ohio, LLC",Community Medical Services- Kent,,,174 Currie Hall Parkway,Kent,OH,44240,(330) 676-0313,Provisional,
"Brightview, LLC",,,,1951 State Route 59 Ste A,Kent,OH,44240,(833) 510-4357,Certified,8/23/23
"Premier Care of Ohio, LLC",Community Medical Services- Kettering,,,2632 Woodman Center Court,Kettering,OH,45420,(937) 739-7100,Certified,12/5/22
"Brightview, LLC (Lancaster)",Brightview,,,1750 Granville Pike,Lancaster,OH,43130,(513) 843-7063,Certified,12/28/22
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Lebanon,,,1521 Walmart Drive,Lebanon,OH,45036,(513) 331-7034,Certified,10/29/20
"Premier Care Of Ohio, LLC",Community Medical Services- Lima,,,2727 St. Johns Rd,Lima,OH,45804,(567) 940-9145,Certified,5/19/16
"BrightView, llc OTP Lima",,,,1505 Cole Street,Lima,OH,45801,(833) 510-4357,Certified,4/5/22
FCI Elkton,,,,8730 Scroggs Rd,Lisbon,OH,44432,(330) 420-6200,Provisional,
"Brightview, LLC Mansfield",Brightview,,,580 Park Ave W.,Mansfield,OH,44906,(513) 843-7063,Certified,8/31/22
"Ohio Treatment Center, LLC",Mansfield Comprehensive Treatment Center,,,475 Lexington Avenue,Mansfield,OH,44907,(419) 419-5705,Certified,5/4/20
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Marietta,,,470 Pike Street,Marietta,OH,45750,(740) 236.4452,Certified,6/8/22
"Brightview, LLC Marietta",BrightView,,,324 Pike Street,Marietta,OH,45750,(513) 843-7063,Certified,11/7/22
"BrightView, LLC",OTP Marion,,,560 N Main,Marion,OH,43302,(513) 834-7063,Certified,3/10/22
"Pinnacle Treatment Centers OH-XIV, LLC",Marion Treatment Services,,,1581 Marion Waldo Road,Marion,OH,43302,(740) 375-7814,Certified,12/1/21
"BrightView, LLC",,,,4483 State Route 42,Mason,OH,45040,(833) 510-4357,Certified,8/4/16
"Ohio Treatment Center, LLC",Canton Comprehensive Treatment Center,,,2520 Wales Ave. NW,Massillon,OH,44646,(234) 262-1112,Certified,12/29/20
"BrightView LLC, OTP Canton",,,,3545 Lincoln Way East,Massillon,OH,44646,(513) 834-7063,Certified,1/27/21
BrightView LLC,BrightView OTP- Toledo,,,1655 Holland Rd Ste F,Maumee,OH,43537,(513) 834-7063,Certified,8/24/20
"New Season of Ohio, LP",New Season Mentor Treatment Center,,,8785 Mentor Avenue,Mentor,OH,44060,(440) 701-6590,Certified,3/5/21
"PAX TREATMENT CENTERS, LLC.","PAX TREATMENT CENTERS, LLC.",,,4302 Roosevelt Blvd,Middletown,OH,45044-6625,513-479-3952,Certified,10/8/21
Sunrise Treatment Center - Middletown,,,,160 North Breiel Blvd.,Middletown,OH,45042,(513) 941-4999,Certified,4/3/19
Sojourner Recovery Services,,,,3606 Commerce Drive,Middletown,OH,45005,(513) 422-4004,Provisional,
Sunrise Treatment Center - Milford,Sunrise Treatment Center,,,25 Whitney Dr. ste 122,Milford,OH,45150,(513) 941-4999,Certified,7/9/20
"Pinnacle Treatment Centers OH-X, LLC",Milford Treatment Services,,,950 Lila Avenue,Milford,OH,45150,513-900-9578,Certified,12/29/20
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Milford,,,749 C State Route 28,Milford,OH,45150-5046,(513) 214-2094,Certified,10/28/20
"Brightview, LLC (Newark North)",,,,974 North 21st Street,Newark,OH,43055,(513) 843-7063,Certified,11/14/22
"BrightView, LLC OTP Newark",,,,1445 West Main Street,Newark,OH,43055,(513) 834-7063,Certified,6/7/22
"Pinnacle Treatment Centers OH-XX, LLC",Niles Treatment Services,,,336 Vienna AVE,Niles,OH,44446,(234) 544-3322,Certified,8/11/23
"Brightview, LLC Parma","Brightview, LLC",,,5850 Ridge Road,Parma,OH,44129,(513) 843-7063,Certified,11/7/22
"BayMark Health Services of Ohio, Inc.",MedMark Treatment Centers Parma Heights,,,6700 Pearl Road,Parma Heights,OH,44130,(440) 941-1933,Provisional,
Complete HealthCare for Women,Complete Healthcare Addiction & Gynecology,,,670 Hill Road N,Pickerington,OH,43147-9201,(614) 882-4343,Certified,5/3/21
Sunrise Treatment Center - Piqua,,,,1130 Garbry Rd.,Piqua,OH,45356,(513) 941-4999,Certified,4/19/21
"BrightView, LLC",BrightView Piqua,,,1830 High Street,Piqua,OH,45356,(541) 834-7063,Certified,2/1/22
AMAZING GRACE CENTER INC,AMAZING GRACE CENTER,,,802 CLARE AVE,PORTSMOUTH,OH,45662,(740) 876-8449,Certified,4/3/20
Sunrise Treatment Center - Portsmouth,Sunrise Treatment Center,,,1907 11th Street,Portsmouth,OH,45662,(513) 467-6711,Certified,4/21/23
"BrightView, LLC OTP Portsmouth",,,,1405 11th St.,Portsmouth,OH,45662,(513) 834-7063,Certified,3/16/22
"Brightview, LLC Sandusky",,,,1012 E. Perkins Ave.,Sandusky,OH,44870,(513) 843-7063,Certified,11/14/22
"Pinnacle Treatment Centers OH-XII, LLC",Sandusky Treatment Services,,,1036 Cleveland RD,Sandusky,OH,44870,(419) 504-0068,Certified,12/1/21
"BrightView, LLC",Brightview,,,201 N. Yellow Springs St.,Springfield,OH,45504,(513) 834-7063,Certified,8/24/20
Sunrise Treatment Center - Springfield,Sunrise Treatment Center,,,1421 Parker Ct,Springfield,OH,45504,(513) 941-4999,Certified,4/24/23
"Pinnacle Treatment Centers OH-XVIII, LLC",Springfield Treatment Services,,,287 E Leffel LN,Springfield,OH,45505,(937) 342-3041,Certified,5/3/22
Talbot Clinical Services of Ohio,Talbot Health Services,,,732 Main St,Toledo,OH,43605,(419) 691-0600,Provisional,
"Family Guidance Centers of Ohio, Inc.",,,,4354 Monroe St,Toledo,OH,43606,(419) 442-7145,Certified,11/30/20
"Pinnacle Treatment Centers OH-IX, LLC",Toledo Treatment Services,,,115 S Reynolds Rd,Toledo,OH,43615,(419) 725-6631,Certified,11/17/19
Zepf Center,,,,2005 Ashland Ave,Toledo,OH,43620,(419) 841-7701,Certified,8/23/17
Meridian Healthcare,Meridian HealthCare,,,"320 High Street, N.E.",Warren,OH,44481,(330)270-5329,Certified,11/15/17
"BrightView, LLC OTP Warren",,,,1924 East Market St.,Warren,OH,44483,(513) 834-7063,Certified,8/19/21
Sunrise Treatment Center - West Union,Sunrise Treatment Center,,,247 CIC Blvd,West Union,OH,45693,(513) 941-4999,Certified,
"BrightView, llc OTP Columbus East",,,,3768 East Main St.,Whitehall,OH,43213,(833) 510-4357,Certified,3/14/22
"BrightView, LLC",,,,38886 Mentor Avenue,Willoughby,OH,44094,,Certified,3/6/23
"BrightView, LLC OTP Wilmington",,,,485 West Main Street,Wilmington,OH,45177,(513) 834-7063,Certified,7/29/21
DeCoach Rehabilitation Centre,,,,36 North Detroit Street,Xenia,OH,45385,,Certified,2/11/20
"Pinnacle Treatment Centers OH-VIII, LLC",Youngstown Treatment Services,,,"3622 Belmont Ave., Suite 21",Youngstown,OH,44505,(234) 719-1885,Certified,1/9/19
Meridian HealthCare,Meridian HealthCare,,,527 North Meridian Rd.,Youngstown,OH,44509,(330) 797-0070,Certified,9/1/03
"Pinnacle Treatment Centers OH-IV, LLC",Zanesville Treatment Services,,,1590 Coal Run Road,Zanesville,OH,43701,(740) 297-4417,Certified,8/23/19
"BrightView, llc OTP Zanesville",,,,2572 Maple Ave.,Zanesville,OH,43701,(833) 510-4357,Certified,8/10/22